iter	Logloss
0	0.6835958908
1	0.6775909328
2	0.667674503
3	0.6570562503
4	0.6471611704
5	0.6356027044
6	0.629507448
7	0.6249412862
8	0.6188351589
9	0.6109988187
10	0.6021658439
11	0.5947556349
12	0.5869680981
13	0.5797069557
14	0.5722993345
15	0.565281428
16	0.5574636296
17	0.550537095
18	0.5422896887
19	0.5368351891
20	0.5293652459
21	0.5260397806
22	0.5188644418
23	0.5116049771
24	0.5050992483
25	0.4995977387
26	0.4958548988
27	0.4918961184
28	0.4878669375
29	0.482452508
30	0.4776147527
31	0.4733656737
32	0.467080157
33	0.4610190836
34	0.4562891546
35	0.4500667978
36	0.4455734018
37	0.4415632878
38	0.4366895677
39	0.4327858875
40	0.4278262565
41	0.4245203246
42	0.4194877337
43	0.415403711
44	0.4120838863
45	0.407459676
46	0.4042626725
47	0.400159654
48	0.3969044467
49	0.3957720532
50	0.3940182794
51	0.3893750902
52	0.3854179
53	0.3830291994
54	0.379805644
55	0.3769323538
56	0.3736284982
57	0.3728209206
58	0.3694652036
59	0.3664118734
60	0.3627885612
61	0.3599098204
62	0.3567345326
63	0.3536563191
64	0.3519172375
65	0.3499383903
66	0.3462979392
67	0.3456378639
68	0.3434284064
69	0.3413188909
70	0.3384640232
71	0.3355079275
72	0.3327388824
73	0.330751006
74	0.3278443629
75	0.3259681567
76	0.3237463054
77	0.3220123904
78	0.319301183
79	0.3175894728
80	0.3155358956
81	0.3141664487
82	0.311994576
83	0.3099661052
84	0.3080248221
85	0.3062467245
86	0.3045755251
87	0.3025128514
88	0.3004633464
89	0.2992543851
90	0.2970953864
91	0.2958683559
92	0.2945442268
93	0.2928648495
94	0.2919349234
95	0.29031475
96	0.2890459438
97	0.2872505233
98	0.2858586374
99	0.284690321
100	0.2833778764
101	0.28184831
102	0.2806547059
103	0.2797072421
104	0.2783507991
105	0.2762126007
106	0.2750854657
107	0.2738915042
108	0.2725469232
109	0.2710551382
110	0.2690940462
111	0.2673020725
112	0.2660304811
113	0.2644565013
114	0.2625774454
115	0.2609988122
116	0.2595218513
117	0.2583665345
118	0.2570600464
119	0.2557983435
120	0.2547159324
121	0.2534264126
122	0.2526081812
123	0.25143307
124	0.2499428387
125	0.2491320196
126	0.2479893908
127	0.2475315273
128	0.2462824638
129	0.24565113
130	0.2445554379
131	0.2434143938
132	0.2417966877
133	0.2408719049
134	0.2393757378
135	0.2380853825
136	0.2373375936
137	0.2358647246
138	0.2350532747
139	0.2341758445
140	0.2336916986
141	0.2325485886
142	0.2315342249
143	0.2305409141
144	0.2300101
145	0.2292952824
146	0.2280285714
147	0.2269535646
148	0.2259002072
149	0.2254520726
150	0.2246679565
151	0.2237080307
152	0.223200281
153	0.2226084203
154	0.2225591155
155	0.2219431951
156	0.2209649992
157	0.2202499386
158	0.2193575053
159	0.2187493726
160	0.2179358997
161	0.2171025834
162	0.2161730731
163	0.2153434212
164	0.214369623
165	0.2138355188
166	0.2132457884
167	0.212546184
168	0.211708792
169	0.2109229414
170	0.2099655731
171	0.2092207517
172	0.2089167846
173	0.2083447114
174	0.2079068291
175	0.2071327316
176	0.2059300291
177	0.2052402996
178	0.2044668809
179	0.2036499207
180	0.2031736437
181	0.2027047086
182	0.2018643378
183	0.200997857
184	0.2004054521
185	0.1995072025
186	0.1985894824
187	0.1975140917
188	0.1971834602
189	0.1967674685
190	0.1959397471
191	0.1950474475
192	0.1943686041
193	0.1936138135
194	0.1931972805
195	0.1925228876
196	0.1921307469
197	0.1915020883
198	0.1909024983
199	0.1902746218
200	0.1897806161
201	0.1891786878
202	0.1884465223
203	0.1876195645
204	0.1869990293
205	0.1861004842
206	0.1857158445
207	0.1850688085
208	0.1841802077
209	0.1831307642
210	0.1822400136
211	0.1816267633
212	0.1809496045
213	0.1802336622
214	0.1797022123
215	0.1796821778
216	0.179243849
217	0.1788877821
218	0.1783641974
219	0.1775386239
220	0.177130161
221	0.1763702682
222	0.1755066981
223	0.1751505806
224	0.1745277209
225	0.1739557552
226	0.1734957795
227	0.1731540723
228	0.172807472
229	0.1722175762
230	0.1715216418
231	0.1710574199
232	0.1706578786
233	0.1703000222
234	0.1697300131
235	0.1695370666
236	0.1687271121
237	0.1682979004
238	0.1674813723
239	0.1671405068
240	0.1669021587
241	0.1665491753
242	0.1661832446
243	0.1656044265
244	0.1647726516
245	0.1644080702
246	0.1637605975
247	0.1635219851
248	0.1629243726
249	0.1626974841
250	0.1623123719
251	0.1617929877
252	0.161357175
253	0.1613496819
254	0.1610259232
255	0.1606299274
256	0.1602447143
257	0.159290455
258	0.1592710651
259	0.1587598742
260	0.1580017725
261	0.1574812998
262	0.1572279462
263	0.1565658384
264	0.1558470419
265	0.1553469663
266	0.1547659703
267	0.1543884775
268	0.1540876791
269	0.1537532677
270	0.1531737407
271	0.1527260401
272	0.1523961803
273	0.1521347314
274	0.1514240357
275	0.1510544551
276	0.1507178029
277	0.1504280471
278	0.1501064338
279	0.1497780444
280	0.1490987964
281	0.1487937883
282	0.1483022126
283	0.1479191271
284	0.1475262198
285	0.1470573656
286	0.1464509867
287	0.1461051113
288	0.1458393579
289	0.1454816746
290	0.1449292516
291	0.1445017445
292	0.1440633797
293	0.1436606286
294	0.1429939149
295	0.1426228739
296	0.1423578028
297	0.1420186631
298	0.1420072716
299	0.1417973965
300	0.1415075004
301	0.1410783668
302	0.1406961636
303	0.1401167814
304	0.1396240361
305	0.1391146456
306	0.1390953086
307	0.1386062305
308	0.1382764453
309	0.1380046146
310	0.1377288291
311	0.1373171236
312	0.1367600584
313	0.1365581963
314	0.1362994601
315	0.1361026969
316	0.1357017864
317	0.135677919
318	0.1353911857
319	0.1352161446
320	0.1351400118
321	0.1348137698
322	0.1344680079
323	0.1339698531
324	0.1338331245
325	0.1338132582
326	0.1334194634
327	0.1331365221
328	0.1327942344
329	0.1325190434
330	0.1324813468
331	0.1319263052
332	0.1313013501
333	0.1309646014
334	0.1306102494
335	0.13038439
336	0.1300368566
337	0.1296557397
338	0.1293826246
339	0.1292178111
340	0.128639013
341	0.12839156
342	0.1280898119
343	0.1276391171
344	0.1273004848
345	0.1268121678
346	0.1265248312
347	0.1259968006
348	0.1255249314
349	0.1249444912
350	0.12474142
351	0.1244074607
352	0.1241594399
353	0.1238500464
354	0.1236385412
355	0.1229839606
356	0.1228340133
357	0.1226693063
358	0.1223401897
359	0.1218582845
360	0.121517886
361	0.121307391
362	0.1210247432
363	0.1206995568
364	0.120668793
365	0.1202841448
366	0.119729586
367	0.1194602459
368	0.1193034866
369	0.11909412
370	0.1188161304
371	0.1185320167
372	0.1183166544
373	0.1179719327
374	0.1179651989
375	0.1178024103
376	0.1174746837
377	0.117190017
378	0.1170183449
379	0.1167796377
380	0.1167752082
381	0.116528914
382	0.1162802986
383	0.1159371573
384	0.1158905941
385	0.1158761051
386	0.1158709512
387	0.1154809807
388	0.1152708117
389	0.1151145882
390	0.1148841557
391	0.1146336742
392	0.1146084664
393	0.114265305
394	0.1140711049
395	0.1138458274
396	0.1136349894
397	0.1132925281
398	0.1131536496
399	0.1129527255
400	0.1126348768
401	0.1123478889
402	0.1121192958
403	0.1117743771
404	0.1111571887
405	0.1110337656
406	0.1107703165
407	0.1106326078
408	0.110392094
409	0.1101999983
410	0.1098198965
411	0.1094914631
412	0.1092857097
413	0.108983919
414	0.1087944712
415	0.1084260811
416	0.1082221995
417	0.1080027809
418	0.1078222585
419	0.1075479268
420	0.1073089577
421	0.1069418756
422	0.1067692417
423	0.1063972183
424	0.1059737097
425	0.1056041912
426	0.1055855728
427	0.1054746235
428	0.1050681324
429	0.1047463791
430	0.104584976
431	0.1043420677
432	0.103950267
433	0.1036444442
434	0.1032773856
435	0.1028419212
436	0.1026704052
437	0.102446624
438	0.1021994946
439	0.1019770152
440	0.1016242965
441	0.1013253855
442	0.1012042736
443	0.1010440127
444	0.1008572288
445	0.1006119833
446	0.1003966287
447	0.1001372549
448	0.09995344241
449	0.09953330463
450	0.09931374402
451	0.09900603265
452	0.09878204356
453	0.09870467854
454	0.09837448714
455	0.09820915313
456	0.09801214809
457	0.09782842446
458	0.09762115272
459	0.09749342722
460	0.09712924595
461	0.09683851491
462	0.09656873769
463	0.09626631103
464	0.09605817154
465	0.09593714542
466	0.09572444422
467	0.09551358865
468	0.09530069628
469	0.09508124921
470	0.09481315659
471	0.09459051274
472	0.09438736034
473	0.09404339529
474	0.09381489724
475	0.09358220551
476	0.09357046091
477	0.0934283826
478	0.09329861769
479	0.09306176416
480	0.09293629079
481	0.09269239127
482	0.09242938204
483	0.09214438573
484	0.09185795894
485	0.09182534317
486	0.09166133572
487	0.09142677536
488	0.09132100842
489	0.09109553027
490	0.09079867167
491	0.09053564614
492	0.09042656229
493	0.0902904127
494	0.09009992697
495	0.08991560743
496	0.08977202755
497	0.08946463315
498	0.08934161118
499	0.08921900962
500	0.08912729228
501	0.0889177234
502	0.08882630447
503	0.0888229102
504	0.08836146188
505	0.08820589469
506	0.08793433619
507	0.08771153574
508	0.08745080071
509	0.08725240126
510	0.08714871386
511	0.08696600846
512	0.08679434591
513	0.08663211114
514	0.08646285562
515	0.08627548205
516	0.08610084189
517	0.0859159392
518	0.08568582345
519	0.08559506013
520	0.08546830918
521	0.08521096819
522	0.08502690558
523	0.08470631121
524	0.08455946909
525	0.08446465079
526	0.08436668747
527	0.0841385139
528	0.0839908062
529	0.08361841526
530	0.08353864195
531	0.08338627233
532	0.08315983746
533	0.08315662023
534	0.08303373904
535	0.08287609951
536	0.08256367231
537	0.08232814051
538	0.08211876539
539	0.08204347486
540	0.08192560418
541	0.08182175965
542	0.08156642503
543	0.08124562716
544	0.08110937313
545	0.08100767862
546	0.08091108201
547	0.08086271889
548	0.08054472407
549	0.08053889228
550	0.08039684777
551	0.08026371932
552	0.0801432631
553	0.08000803255
554	0.08000550015
555	0.07986933582
556	0.0796904287
557	0.07950624775
558	0.07931903833
559	0.0791172778
560	0.07896659231
561	0.07877167642
562	0.07863945621
563	0.07843537224
564	0.07832969463
565	0.07811307737
566	0.07791506568
567	0.07779055247
568	0.07765606024
569	0.0774302667
570	0.07720608188
571	0.07706508525
572	0.07695064138
573	0.07682771787
574	0.0767034893
575	0.07651286992
576	0.07631988956
577	0.07614362421
578	0.07599999539
579	0.07578716581
580	0.07561404174
581	0.07540747709
582	0.07497593903
583	0.07487148011
584	0.07477934101
585	0.07449287227
586	0.07441140469
587	0.074291037
588	0.07419879711
589	0.07419382346
590	0.07410162162
591	0.07410014943
592	0.07382459876
593	0.07366166464
594	0.07348060483
595	0.07330642048
596	0.07311436688
597	0.07278953187
598	0.07269613949
599	0.07242928383
600	0.07232773527
601	0.07226131116
602	0.07213664531
603	0.07204760606
604	0.0718672602
605	0.07164062174
606	0.07146360197
607	0.07137416091
608	0.07126752778
609	0.0711410892
610	0.07082659904
611	0.07066605324
612	0.07046122494
613	0.07029558981
614	0.07016447375
615	0.0700836931
616	0.07000028036
617	0.06986863315
618	0.06962527915
619	0.06941419768
620	0.06931129497
621	0.06911004645
622	0.06895290634
623	0.06884340019
624	0.06870715528
625	0.06845101063
626	0.06824923918
627	0.06798002593
628	0.06790010233
629	0.06769861281
630	0.06759135119
631	0.06739920026
632	0.06725156543
633	0.06707811985
634	0.06686086792
635	0.0666931369
636	0.06653998498
637	0.06633897444
638	0.06606392041
639	0.06597735815
640	0.0658672757
641	0.06577546704
642	0.06550088038
643	0.06538696881
644	0.065233035
645	0.06507215946
646	0.06495370595
647	0.06478198487
648	0.0646368667
649	0.06449042271
650	0.06424548472
651	0.06410022781
652	0.06394709107
653	0.06382473461
654	0.06372938146
655	0.06353770423
656	0.06342769271
657	0.0632550299
658	0.0631171352
659	0.06297007254
660	0.06283473856
661	0.06269962415
662	0.06262045306
663	0.06250694886
664	0.06238415052
665	0.0622584057
666	0.06212027568
667	0.06200955976
668	0.0619346462
669	0.06167736866
670	0.06156227602
671	0.06148998227
672	0.06136021873
673	0.06124642799
674	0.06108053743
675	0.06092377845
676	0.06091862572
677	0.06077281286
678	0.06068483155
679	0.06058901592
680	0.06058478645
681	0.06047536499
682	0.06026639778
683	0.06013026747
684	0.06003609348
685	0.05988584425
686	0.05973003841
687	0.05961669898
688	0.05951154389
689	0.05938573505
690	0.05919394891
691	0.05907580544
692	0.05894319649
693	0.05888417899
694	0.05880165034
695	0.05872163885
696	0.05858084977
697	0.05849229451
698	0.05845464581
699	0.05838102928
700	0.05823533795
701	0.05823144255
702	0.05811929492
703	0.05795915044
704	0.05793037848
705	0.05784561048
706	0.05768350451
707	0.05758675177
708	0.05751554084
709	0.05727660876
710	0.05718113064
711	0.0570543969
712	0.05687226379
713	0.05677206599
714	0.05668586611
715	0.05651449981
716	0.056459561
717	0.05640088168
718	0.05614924466
719	0.05604236211
720	0.05597409477
721	0.05589593916
722	0.0557660395
723	0.05561781268
724	0.05553090708
725	0.05545965636
726	0.05537812945
727	0.05529719335
728	0.05520930249
729	0.0549815675
730	0.0548298009
731	0.05477636977
732	0.05469746703
733	0.05460595961
734	0.05450593094
735	0.05436823409
736	0.05430369502
737	0.05412569776
738	0.05397853326
739	0.05390618801
740	0.053802497
741	0.05374184349
742	0.0536531427
743	0.05354953388
744	0.05354681946
745	0.05335211573
746	0.05328050494
747	0.05327707231
748	0.05313583083
749	0.05298536119
750	0.05290837679
751	0.05280420845
752	0.05263649895
753	0.05257100642
754	0.05249001181
755	0.05226340919
756	0.05217223273
757	0.05205546602
758	0.05196678964
759	0.05178780918
760	0.05170704705
761	0.05164119836
762	0.05157146164
763	0.05150192884
764	0.05132418014
765	0.0511335448
766	0.05102204687
767	0.05094289329
768	0.05087006519
769	0.05079377149
770	0.05068254864
771	0.05058342815
772	0.0504919849
773	0.0504368167
774	0.05033079899
775	0.05024004015
776	0.05016357572
777	0.05012939722
778	0.05002275424
779	0.04991426434
780	0.04977348054
781	0.0496986509
782	0.04957796084
783	0.04950218075
784	0.04936637376
785	0.04928170993
786	0.04920160763
787	0.04908723831
788	0.04892504862
789	0.04880544996
790	0.04871937503
791	0.04865745402
792	0.04860126902
793	0.04834994324
794	0.0482738915
795	0.04811627618
796	0.04797630741
797	0.04784094126
798	0.04773236283
799	0.04765872922
800	0.04754791086
801	0.04746956289
802	0.04739062648
803	0.04731595708
804	0.04725718036
805	0.0471744521
806	0.04707749498
807	0.0469179541
808	0.04683507998
809	0.04662754963
810	0.04657244288
811	0.04646573333
812	0.04638898818
813	0.04629928075
814	0.04617334963
815	0.04605939485
816	0.04598643637
817	0.04590313134
818	0.04575395107
819	0.04566412314
820	0.04551230259
821	0.04541810103
822	0.0453316768
823	0.04524335941
824	0.04513437401
825	0.04502563159
826	0.04493331431
827	0.04487940119
828	0.04478650421
829	0.0446932562
830	0.04461043979
831	0.04452303604
832	0.04442411625
833	0.04420644392
834	0.04417345156
835	0.04406003799
836	0.04394997599
837	0.04387227352
838	0.043799997
839	0.04370335805
840	0.04362243771
841	0.04353724729
842	0.04346646108
843	0.04340012644
844	0.0432843907
845	0.04320029241
846	0.04319739544
847	0.04311919108
848	0.04305301978
849	0.04297237189
850	0.04291632383
851	0.0427931789
852	0.04275254849
853	0.04269346715
854	0.04261051536
855	0.04251100216
856	0.04242858263
857	0.04233853992
858	0.04223282345
859	0.04211389641
860	0.04198457963
861	0.04188883667
862	0.04182212257
863	0.04176090723
864	0.04166152447
865	0.04155105683
866	0.04144207395
867	0.0413812435
868	0.04129162084
869	0.04121369738
870	0.04111000213
871	0.04102993923
872	0.04095572619
873	0.04086113092
874	0.04074930358
875	0.04066608427
876	0.04058076186
877	0.04048871186
878	0.04041882963
879	0.04029702118
880	0.04024997402
881	0.04019876417
882	0.04013538087
883	0.04005488022
884	0.03996320238
885	0.03984369722
886	0.03972453807
887	0.03964273846
888	0.03957876624
889	0.03950478094
890	0.03936840336
891	0.03929932668
892	0.03922229069
893	0.03914408208
894	0.03908739439
895	0.03897911963
896	0.03891215056
897	0.03885499596
898	0.03879887087
899	0.03873561983
900	0.03868693912
901	0.03865366898
902	0.03855953756
903	0.03849469735
904	0.03843522608
905	0.03835713317
906	0.03825289546
907	0.03815391761
908	0.03810250272
909	0.03803759409
910	0.03795094325
911	0.03789745028
912	0.03783074453
913	0.03777345183
914	0.03771521619
915	0.03764580779
916	0.03753556855
917	0.03748808111
918	0.03739481284
919	0.03733535103
920	0.03728515975
921	0.03721397698
922	0.03709193733
923	0.0370394385
924	0.03697253589
925	0.03693221903
926	0.03685706222
927	0.03678770807
928	0.03666966347
929	0.03658240987
930	0.03653141483
931	0.03647739519
932	0.03640813477
933	0.03633020201
934	0.03620462467
935	0.03612867995
936	0.03604429727
937	0.03598382134
938	0.03590995939
939	0.03582537699
940	0.03577571822
941	0.03568186709
942	0.03558864759
943	0.03553510597
944	0.0354635288
945	0.03541183663
946	0.03537257824
947	0.0353131325
948	0.03525310625
949	0.03520232953
950	0.03508250342
951	0.03504685173
952	0.03501192553
953	0.03497759272
954	0.03493374797
955	0.03488884334
956	0.03482067199
957	0.03475479263
958	0.03470779963
959	0.0346503797
960	0.03459469163
961	0.03451632931
962	0.03444478974
963	0.03439272555
964	0.03431012833
965	0.03427040143
966	0.0341913478
967	0.03413547909
968	0.0340572226
969	0.03392158639
970	0.03386824946
971	0.03381608282
972	0.03375243444
973	0.03370285817
974	0.03364537627
975	0.03355628685
976	0.03347692224
977	0.03341271472
978	0.03336123815
979	0.03328135548
980	0.03321983073
981	0.03318285391
982	0.03314181417
983	0.03308748643
984	0.03303814162
985	0.03298489968
986	0.03292613328
987	0.03285450401
988	0.03279864402
989	0.03276438596
990	0.03272294747
991	0.03268265563
992	0.03262122018
993	0.03257180702
