iter	Passed	Remaining
0	2	2467
1	4	2386
2	7	2331
3	8	2231
4	10	2175
5	13	2267
6	15	2263
7	19	2420
8	45	5056
9	48	4814
10	55	4961
11	61	5046
12	63	4803
13	65	4622
14	67	4458
15	70	4322
16	73	4222
17	75	4099
18	77	3983
19	79	3872
20	80	3774
21	82	3681
22	84	3595
23	86	3516
24	88	3447
25	90	3386
26	92	3331
27	94	3283
28	96	3244
29	98	3191
30	100	3145
31	102	3100
32	104	3066
33	106	3033
34	108	2999
35	110	2967
36	112	2937
37	114	2906
38	116	2876
39	118	2854
40	121	2833
41	123	2807
42	125	2784
43	127	2771
44	129	2754
45	132	2739
46	134	2724
47	136	2702
48	138	2683
49	140	2661
50	142	2648
51	144	2635
52	146	2616
53	148	2602
54	150	2583
55	152	2565
56	154	2550
57	156	2537
58	158	2522
59	159	2506
60	161	2493
61	163	2480
62	165	2467
63	167	2456
64	170	2449
65	172	2439
66	174	2427
67	176	2417
68	178	2406
69	180	2393
70	182	2382
71	183	2371
72	185	2359
73	187	2347
74	189	2337
75	191	2328
76	193	2320
77	195	2313
78	197	2307
79	199	2298
80	201	2289
81	204	2286
82	206	2280
83	208	2274
84	210	2268
85	213	2266
86	215	2259
87	217	2252
88	219	2247
89	221	2241
90	224	2237
91	225	2230
92	227	2223
93	229	2215
94	231	2208
95	233	2201
96	235	2193
97	237	2185
98	239	2182
99	242	2182
100	245	2183
101	247	2178
102	249	2174
103	251	2168
104	253	2160
105	255	2157
106	257	2152
107	259	2145
108	261	2138
109	263	2132
110	265	2126
111	267	2122
112	269	2118
113	271	2113
114	274	2108
115	275	2102
116	277	2096
117	279	2091
118	281	2084
119	283	2079
120	285	2073
121	287	2066
122	289	2061
123	291	2055
124	292	2050
125	295	2047
126	297	2043
127	299	2038
128	301	2033
129	303	2028
130	305	2029
131	308	2026
132	310	2023
133	312	2019
134	314	2014
135	316	2011
136	318	2007
137	321	2008
138	323	2001
139	325	1998
140	327	1994
141	329	1990
142	331	1986
143	333	1982
144	335	1979
145	337	1976
146	339	1971
147	341	1968
148	344	1965
149	346	1961
150	348	1957
151	350	1953
152	353	1954
153	355	1952
154	358	1952
155	360	1948
156	362	1944
157	364	1940
158	366	1939
159	369	1937
160	371	1933
161	372	1929
162	374	1924
163	376	1920
164	378	1916
165	380	1912
166	382	1908
167	384	1906
168	386	1902
169	388	1899
170	391	1895
171	392	1891
172	395	1888
173	397	1887
174	399	1884
175	401	1881
176	404	1880
177	406	1879
178	409	1877
179	411	1873
180	413	1869
181	415	1866
182	417	1866
183	419	1862
184	421	1858
185	423	1854
186	425	1850
187	427	1846
188	429	1841
189	431	1837
190	433	1834
191	435	1830
192	436	1827
193	438	1823
194	441	1820
195	443	1818
196	445	1814
197	446	1810
198	448	1807
199	451	1805
200	453	1803
201	455	1801
202	458	1798
203	460	1795
204	461	1790
205	463	1787
206	466	1785
207	468	1782
208	470	1779
209	472	1776
210	474	1772
211	476	1769
212	477	1766
213	479	1762
214	482	1759
215	483	1756
216	485	1753
217	487	1749
218	490	1747
219	492	1744
220	494	1742
221	496	1739
222	498	1737
223	500	1733
224	502	1730
225	504	1727
226	506	1724
227	508	1720
228	510	1717
229	512	1714
230	514	1711
231	516	1709
232	518	1706
233	520	1702
234	522	1700
235	524	1696
236	526	1693
237	527	1690
238	530	1687
239	532	1685
240	534	1683
241	536	1681
242	538	1678
243	540	1674
244	542	1671
245	544	1668
246	546	1665
247	548	1663
248	550	1660
249	552	1657
250	554	1654
251	556	1651
252	558	1648
253	560	1644
254	561	1641
255	564	1641
256	566	1638
257	568	1635
258	570	1632
259	572	1629
260	574	1626
261	576	1623
262	578	1620
263	580	1618
264	582	1614
265	584	1611
266	586	1609
267	588	1606
268	589	1603
269	591	1600
270	594	1598
271	596	1597
272	599	1596
273	601	1593
274	603	1590
275	605	1587
276	607	1586
277	609	1583
278	612	1581
279	614	1578
280	616	1576
281	618	1573
282	620	1571
283	621	1568
284	623	1565
285	625	1562
286	627	1559
287	629	1557
288	631	1554
289	633	1552
290	635	1549
291	638	1547
292	640	1545
293	642	1542
294	644	1539
295	645	1536
296	647	1533
297	649	1531
298	651	1527
299	653	1525
300	655	1522
301	657	1519
302	659	1516
303	661	1515
304	664	1513
305	666	1511
306	668	1508
307	670	1506
308	672	1503
309	674	1500
310	676	1498
311	678	1496
312	680	1493
313	682	1491
314	685	1489
315	687	1487
316	688	1484
317	691	1482
318	693	1480
319	695	1477
320	697	1474
321	699	1472
322	701	1469
323	703	1466
324	704	1464
325	706	1461
326	708	1458
327	711	1457
328	713	1455
329	716	1453
330	717	1451
331	719	1448
332	721	1445
333	723	1442
334	725	1440
335	727	1438
336	729	1435
337	731	1432
338	733	1430
339	735	1427
340	737	1425
341	739	1422
342	741	1420
343	743	1417
344	745	1415
345	747	1412
346	749	1409
347	751	1407
348	753	1404
349	755	1402
350	757	1400
351	759	1398
352	761	1396
353	764	1394
354	766	1392
355	768	1389
356	770	1387
357	772	1384
358	774	1382
359	776	1380
360	778	1378
361	780	1375
362	782	1373
363	784	1371
364	786	1368
365	788	1365
366	790	1363
367	792	1361
368	794	1358
369	796	1355
370	798	1353
371	800	1350
372	802	1348
373	804	1345
374	806	1343
375	808	1341
376	810	1338
377	811	1336
378	813	1333
379	815	1331
380	817	1328
381	819	1326
382	821	1323
383	824	1322
384	826	1320
385	829	1319
386	831	1316
387	833	1314
388	835	1312
389	837	1309
390	839	1307
391	841	1305
392	843	1302
393	845	1299
394	847	1297
395	848	1294
396	850	1292
397	852	1290
398	855	1288
399	857	1285
400	859	1283
401	860	1280
402	862	1278
403	864	1275
404	866	1273
405	868	1271
406	871	1269
407	873	1267
408	875	1265
409	877	1263
410	879	1260
411	881	1258
412	883	1255
413	885	1253
414	887	1251
415	889	1248
416	891	1246
417	893	1244
418	895	1242
419	897	1239
420	899	1237
421	901	1235
422	903	1232
423	905	1230
424	907	1228
425	909	1225
426	911	1223
427	913	1221
428	915	1218
429	917	1216
430	919	1214
431	921	1211
432	923	1209
433	925	1207
434	927	1204
435	929	1202
436	931	1199
437	933	1197
438	935	1194
439	937	1193
440	940	1191
441	942	1189
442	944	1187
443	946	1184
444	948	1182
445	950	1180
446	952	1178
447	954	1176
448	956	1174
449	959	1172
450	961	1170
451	963	1167
452	965	1165
453	967	1163
454	969	1160
455	971	1158
456	973	1156
457	974	1153
458	977	1151
459	978	1149
460	980	1146
461	983	1144
462	985	1143
463	988	1141
464	990	1139
465	992	1137
466	994	1135
467	996	1132
468	998	1130
469	1001	1128
470	1002	1126
471	1004	1123
472	1006	1121
473	1008	1119
474	1010	1116
475	1012	1114
476	1014	1112
477	1016	1110
478	1018	1107
479	1020	1105
480	1022	1103
481	1024	1100
482	1026	1098
483	1028	1096
484	1030	1094
485	1032	1092
486	1035	1090
487	1037	1088
488	1039	1086
489	1041	1084
490	1043	1081
491	1045	1080
492	1047	1077
493	1050	1075
494	1051	1073
495	1053	1070
496	1055	1068
497	1057	1066
498	1060	1064
499	1062	1062
500	1064	1059
501	1066	1057
502	1068	1055
503	1070	1053
504	1072	1050
505	1073	1048
506	1075	1046
507	1077	1043
508	1079	1041
509	1081	1039
510	1083	1036
511	1085	1034
512	1087	1032
513	1089	1029
514	1091	1027
515	1092	1025
516	1094	1022
517	1097	1020
518	1099	1018
519	1100	1016
520	1102	1013
521	1104	1011
522	1106	1009
523	1108	1007
524	1110	1004
525	1113	1003
526	1115	1001
527	1118	999
528	1120	997
529	1122	995
530	1124	992
531	1126	990
532	1127	988
533	1130	986
534	1132	984
535	1134	981
536	1136	979
537	1138	977
538	1140	975
539	1142	972
540	1144	970
541	1146	968
542	1148	966
543	1149	963
544	1151	961
545	1153	959
546	1155	957
547	1157	955
548	1160	952
549	1162	951
550	1164	949
551	1166	947
552	1169	944
553	1171	942
554	1173	940
555	1175	938
556	1177	936
557	1179	934
558	1181	932
559	1183	929
560	1185	927
561	1187	925
562	1189	923
563	1191	920
564	1193	918
565	1195	916
566	1197	914
567	1199	912
568	1201	910
569	1203	908
570	1205	905
571	1207	903
572	1209	901
573	1211	899
574	1213	897
575	1215	894
576	1217	892
577	1219	890
578	1221	888
579	1223	885
580	1225	883
581	1227	881
582	1229	879
583	1231	877
584	1234	875
585	1236	873
586	1238	871
587	1240	869
588	1242	866
589	1245	865
590	1247	863
591	1249	860
592	1251	858
593	1253	856
594	1255	854
595	1257	852
596	1260	850
597	1262	848
598	1265	846
599	1267	844
600	1268	842
601	1270	840
602	1272	837
603	1274	835
604	1276	833
605	1288	837
606	1290	835
607	1292	833
608	1294	831
609	1296	828
610	1298	826
611	1300	824
612	1302	822
613	1304	819
614	1306	817
615	1308	815
616	1309	813
617	1311	810
618	1313	808
619	1315	806
620	1317	804
621	1319	801
622	1321	799
623	1323	797
624	1325	795
625	1327	793
626	1330	791
627	1332	789
628	1334	787
629	1336	784
630	1338	782
631	1340	780
632	1342	778
633	1344	776
634	1346	773
635	1347	771
636	1350	769
637	1351	767
638	1353	764
639	1355	762
640	1358	760
641	1360	758
642	1362	756
643	1363	753
644	1365	751
645	1367	749
646	1369	747
647	1371	745
648	1373	742
649	1375	740
650	1377	738
651	1379	736
652	1381	733
653	1383	731
654	1384	729
655	1386	727
656	1388	725
657	1390	722
658	1392	720
659	1394	718
660	1397	716
661	1398	714
662	1400	712
663	1402	709
664	1404	707
665	1407	705
666	1409	703
667	1411	701
668	1413	699
669	1415	697
670	1417	694
671	1419	692
672	1421	690
673	1423	688
674	1425	686
675	1426	683
676	1428	681
677	1431	679
678	1433	677
679	1435	675
680	1437	673
681	1439	671
682	1441	668
683	1442	666
684	1444	664
685	1446	662
686	1448	660
687	1450	657
688	1452	655
689	1455	653
690	1457	651
691	1459	649
692	1460	647
693	1463	645
694	1465	642
695	1467	640
696	1469	638
697	1471	636
698	1473	634
699	1475	632
700	1477	630
701	1479	628
702	1481	625
703	1483	623
704	1485	621
705	1487	619
706	1489	617
707	1491	614
708	1493	612
709	1495	610
710	1497	608
711	1499	606
712	1501	604
713	1503	602
714	1505	600
715	1507	597
716	1509	595
717	1511	593
718	1513	591
719	1515	589
720	1518	587
721	1520	585
722	1522	583
723	1525	581
724	1527	579
725	1529	577
726	1531	574
727	1533	572
728	1535	570
729	1538	568
730	1539	566
731	1541	564
732	1543	562
733	1545	560
734	1548	558
735	1550	556
736	1552	554
737	1554	551
738	1556	549
739	1558	547
740	1560	545
741	1562	543
742	1564	541
743	1566	539
744	1568	536
745	1570	534
746	1572	532
747	1574	530
748	1576	528
749	1578	526
750	1579	523
751	1581	521
752	1584	519
753	1586	517
754	1588	515
755	1591	513
756	1593	511
757	1595	509
758	1597	507
759	1599	505
760	1601	502
761	1603	500
762	1605	498
763	1607	496
764	1609	494
765	1611	492
766	1613	490
767	1615	487
768	1617	485
769	1619	483
770	1621	481
771	1623	479
772	1625	477
773	1627	475
774	1629	473
775	1631	470
776	1633	468
777	1636	466
778	1639	464
779	1641	462
780	1643	460
781	1645	458
782	1647	456
783	1649	454
784	1651	452
785	1653	450
786	1655	448
787	1658	446
788	1660	444
789	1662	441
790	1664	439
791	1666	437
792	1667	435
793	1669	433
794	1671	431
795	1673	428
796	1675	426
797	1677	424
798	1679	422
799	1681	420
800	1682	418
801	1684	415
802	1686	413
803	1688	411
804	1690	409
805	1692	407
806	1695	405
807	1697	403
808	1699	401
809	1702	399
810	1704	397
811	1706	395
812	1708	393
813	1710	390
814	1712	388
815	1715	386
816	1717	384
817	1719	382
818	1721	380
819	1723	378
820	1725	376
821	1727	374
822	1729	371
823	1731	369
824	1733	367
825	1735	365
826	1737	363
827	1739	361
828	1741	359
829	1743	357
830	1745	355
831	1748	352
832	1750	350
833	1758	350
834	1761	347
835	1763	345
836	1765	343
837	1767	341
838	1768	339
839	1770	337
840	1772	335
841	1774	333
842	1776	330
843	1778	328
844	1780	326
845	1782	324
846	1784	322
847	1786	320
848	1788	318
849	1791	316
850	1793	313
851	1795	311
852	1797	309
853	1799	307
854	1801	305
855	1803	303
856	1805	301
857	1807	299
858	1808	296
859	1810	294
860	1812	292
861	1814	290
862	1817	288
863	1820	286
864	1822	284
865	1824	282
866	1826	280
867	1828	278
868	1830	275
869	1832	273
870	1834	271
871	1836	269
872	1838	267
873	1840	265
874	1842	263
875	1845	261
876	1847	259
877	1849	256
878	1851	254
879	1853	252
880	1855	250
881	1857	248
882	1860	246
883	1862	244
884	1864	242
885	1866	240
886	1868	238
887	1870	235
888	1872	233
889	1874	231
890	1876	229
891	1878	227
892	1880	225
893	1882	223
894	1883	221
895	1885	218
896	1888	216
897	1890	214
898	1892	212
899	1894	210
900	1896	208
901	1898	206
902	1900	204
903	1903	202
904	1905	199
905	1907	197
906	1909	195
907	1911	193
908	1913	191
909	1915	189
910	1917	187
911	1919	185
912	1921	183
913	1923	180
914	1925	178
915	1927	176
916	1930	174
917	1931	172
918	1933	170
919	1935	168
920	1938	166
921	1940	164
922	1942	162
923	1944	159
924	1946	157
925	1948	155
926	1950	153
927	1952	151
928	1954	149
929	1957	147
930	1959	145
931	1961	143
932	1963	141
933	1965	138
934	1967	136
935	1969	134
936	1971	132
937	1973	130
938	1975	128
939	1977	126
940	1978	124
941	1980	121
942	1982	119
943	1984	117
944	1986	115
945	1988	113
946	1991	111
947	1992	109
948	1994	107
949	1996	105
950	1998	102
951	2001	100
952	2002	98
953	2004	96
954	2006	94
955	2008	92
956	2010	90
957	2012	88
958	2014	86
959	2016	84
960	2018	81
961	2021	79
962	2023	77
963	2024	75
964	2027	73
965	2029	71
966	2030	69
967	2032	67
968	2034	65
969	2036	62
970	2039	60
971	2040	58
972	2042	56
973	2044	54
974	2046	52
975	2049	50
976	2051	48
977	2053	46
978	2056	44
979	2058	42
980	2061	39
981	2063	37
982	2065	35
983	2068	33
984	2070	31
985	2072	29
986	2074	27
987	2076	25
988	2078	23
989	2080	21
990	2082	18
991	2084	16
992	2087	14
993	2089	12
994	2091	10
995	2093	8
996	2095	6
997	2097	4
998	2099	2
999	2101	0
